Местное время в Большом Голоустном;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
29.01.2017 17:00;-16.5;730.0;776.0;;52;Ветер, дующий с востоко-северо-востока;4;;13;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-24.2;;;;;;
29.01.2017 23:00;-21.3;729.2;776.0;;58;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;-27.4;;;;;;
30.01.2017 5:00;-25.2;728.2;775.8;;72;Ветер, дующий с севера;6;;;Облаков нет.; ;;;;;;;;;;;-28.8;;;;;;
30.01.2017 11:00;-25.0;728.5;776.0;;67;Ветер, дующий с севера;7;;10;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-29.4;;;;;;
30.01.2017 17:00;-5.7;727.4;771.3;;29;Ветер, дующий с западо-северо-запада;3;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-21.2;;;;;;
30.01.2017 23:00;-10.0;730.0;774.7;;56;Ветер, дующий с западо-юго-запада;2;;12;Облаков нет.; ;;;;;;;;;;;-17.1;;;;;;
31.01.2017 5:00;-16.4;731.0;777.0;;77;Ветер, дующий с севера;5;;;Облаков нет.; ;;;;;;;;;;;-19.6;;;;;;
31.01.2017 11:00;-15.5;731.5;777.4;;70;Ветер, дующий с севера;6;;11;Облаков нет.; ;;;-19.9;;;;;;;10.0;-19.8;;;;;;
31.01.2017 17:00;-10.8;728.8;773.6;;76;Ветер, дующий с востоко-северо-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.2;;;;;;
31.01.2017 23:00;-16.3;729.2;775.1;;80;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-19.0;;;;;;
