Местное время в Байкальске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
26.01.2017 23:00;-20.0;721.1;768.8;;90;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-21.2;;;;;;
27.01.2017 5:00;-16.9;718.7;765.7;;90;Ветер, дующий с юго-запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-18.2;;;;;;
27.01.2017 11:00;-8.7;723.6;769.3;;84;Ветер, дующий с запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;2.0;-11.0;;;;;;
27.01.2017 17:00;-12.4;726.7;773.2;;65;Ветер, дующий с северо-северо-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;20.0;-17.6;;;;;;
27.01.2017 23:00;-15.4;733.0;780.6;;60;Ветер, дующий с западо-северо-запада;2;;;70 – 80%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-21.4;;;;;;
28.01.2017 5:00;-18.5;736.9;785.3;;65;Ветер, дующий с западо-юго-запада;1;;;40%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-23.5;;;;;;
28.01.2017 11:00;-18.0;739.1;787.6;;65;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;-19.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-23.0;;;;;;
28.01.2017 17:00;-17.0;738.1;786.4;;65;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-22.0;;;;;;
28.01.2017 23:00;-25.6;736.5;786.4;;80;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-28.1;;;;;;
29.01.2017 5:00;-28.5;731.5;781.6;;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-31.0;;;;;;
29.01.2017 11:00;-20.5;729.7;778.2;;85;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-22.4;;;;;;
29.01.2017 17:00;-17.1;728.4;776.0;;65;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-22.1;;;;;;
29.01.2017 23:00;-24.5;727.7;776.8;;84;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-26.4;;;;;;
30.01.2017 5:00;-25.0;726.7;775.9;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-26.8;;;;;;
30.01.2017 11:00;-18.0;727.6;775.3;;85;Ветер, дующий с юго-юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-19.9;;;;;;
30.01.2017 17:00;-12.2;726.6;773.2;;66;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-17.4;;;;;;
30.01.2017 23:00;-11.2;729.3;775.9;;61;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-17.4;;;;;;
31.01.2017 5:00;-19.7;729.1;777.3;;90;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-20.9;;;;;;
31.01.2017 11:00;-15.0;729.9;777.2;;85;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;-21.0;;;;;;;50.0;-17.0;;;;;;
31.01.2017 17:00;-10.8;727.4;773.8;;60;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-17.1;;;;;;
31.01.2017 23:00;-19.5;727.6;775.7;;90;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-20.7;;;;;;
