Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
02.10.2019 2:00;-3.2;727.8;775.0;;98;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-3.5;;;;;;
02.10.2019 5:00;-3.4;728.5;775.8;;100;Ветер, дующий с северо-востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-3.4;;;;;;
02.10.2019 8:00;-3.9;729.0;776.5;;97;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;-4.8;;;;2500 или более, или облаков нет.;;;10.0;-4.3;;;;;;
02.10.2019 11:00;03.май;730.0;776.2;;73;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;;10%  или менее, но не 0;2500 или более, или облаков нет.;;;10.0;-1.0;;;;;;
02.10.2019 14:00;07.фев;729.3;774.8;;41;Ветер, дующий с севера;3;;;100%.; ;;;;;;50%.;1000-1500;;;10.0;-5.3;;;;;;
02.10.2019 17:00;06.мар;729.6;775.3;;48;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;50%.;2500 или более, или облаков нет.;;;10.0;-3.9;;;;;;
02.10.2019 20:00;03.июл;730.9;777.1;;58;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;08.янв;;60%.;2500 или более, или облаков нет.;;;10.0;-4.0;;;;;;
02.10.2019 23:00;01.июн;731.8;778.5;;70;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;;40%.;2500 или более, или облаков нет.;;;10.0;-3.3;;;;;;
03.10.2019 2:00;0.5;732.2;779.1;;70;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-4.4;;;;;;
03.10.2019 5:00;-3.2;731.8;779.4;;92;Ветер, дующий с востока;3;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-4.3;;;;;;
03.10.2019 8:00;-3.1;731.5;779.0;;91;Ветер, дующий с востока;2;;;Облаков нет.; ;;;-4.7;;;;;;;10.0;-4.4;;;;;;
03.10.2019 11:00;06.июн;730.9;776.7;;55;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;10.0;-2.0;;;;;;
03.10.2019 14:00;10.мар;729.2;774.2;;38;Ветер, дующий с юго-востока;2;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-3.4;;;;;;
03.10.2019 17:00;10.июл;728.3;773.2;;36;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-3.8;;;;;;
03.10.2019 20:00;05.июн;728.7;774.4;;52;Ветер, дующий с юго-востока;2;;;100%.; ;;;;11.май;;;2500 или более, или облаков нет.;;;10.0;-3.6;;;;;;
03.10.2019 23:00;02.фев;728.5;774.9;;72;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-2.4;;;;;;
04.10.2019 2:00;-0.5;728.2;775.0;;80;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-3.6;;;;;;
04.10.2019 5:00;-2.8;727.8;775.0;;92;Ветер, дующий с востоко-северо-востока;2;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-4.0;;;;;;
04.10.2019 8:00;-0.6;727.9;774.7;;81;Ветер, дующий с юга;1;;;70 – 80%.; ;;;-3.4;;;;2500 или более, или облаков нет.;;;10.0;-3.5;;;;;;
04.10.2019 11:00;07.сен;727.4;772.6;;57;Ветер, дующий с юго-юго-запада;2;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-0.1;;;;;;
04.10.2019 14:00;14.апр;725.5;769.6;;31;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;10.0;-2.6;;;;;;
04.10.2019 17:00;15.июл;723.6;767.4;;25;Ветер, дующий с востоко-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;10.0;-4.3;;;;;;
04.10.2019 20:00;07.авг;722.8;767.8;;51;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;16.апр;;;;;;10.0;-1.8;;;;;;
04.10.2019 23:00;03.июл;722.2;767.8;;68;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;10.0;-1.8;;;;;;
05.10.2019 2:00;-0.2;721.8;768.1;;77;Ветер, дующий с востока;2;;;10%  или менее, но не 0; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-3.8;;;;;;
05.10.2019 5:00;-1.9;721.5;768.1;;84;Ветер, дующий с востока;2;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-4.2;;;;;;
05.10.2019 8:00;-2.7;721.6;768.4;;92;Ветер, дующий с востока;2;;;60%.; ;;;-3.2;;;40%.;50-100;;;10.0;-3.8;;;;;;
05.10.2019 11:00;09.мар;721.3;766.0;;53;Ветер, дующий с юга;1;;;60%.; ;;;;;;10%  или менее, но не 0;50-100;;;10.0;0.2;;;;;;
05.10.2019 14:00;14.июн;720.0;763.7;;24;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-5.8;;;;;;
05.10.2019 17:00;12.авг;718.9;762.8;;32;Ветер, дующий с севера;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-3.4;;;;;;
05.10.2019 20:00;09.апр;718.9;763.3;;40;Ветер, дующий с юга;1;;;100%.; ;;;;15.0;;;2500 или более, или облаков нет.;;;10.0;-3.7;;;;;;
05.10.2019 23:00;02.май;719.8;765.4;;69;Ветер, дующий с севера;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-2.7;;;;;;
06.10.2019 2:00;05.апр;720.8;766.1;;61;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-1.5;;;;;;
06.10.2019 5:00;04.сен;720.4;765.7;;71;Ветер, дующий с востока;2;;;100%.; ;;;;;;40%.;600-1000;;;10.0;0.0;;;;;;
06.10.2019 8:00;05.июн;720.9;766.1;;86;Ветер, дующий с севера;1;;;100%.; ;;;01.июл;;;50%.;600-1000;;;10.0;03.апр;;;;;;
06.10.2019 11:00;07.май;720.7;765.5;;77;Ветер, дующий с запада;3;;;100%.; ;;;;;;50%.;300-600;;;10.0;03.июл;;;;;;
06.10.2019 14:00;09.июн;719.3;763.7;;70;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;70 – 80%.;1000-1500;;;10.0;04.мар;;;;;;
06.10.2019 17:00;02.апр;722.2;768.1;;98;Ветер, дующий с северо-запада;6;;;100%.; ;;;;;;100%.;300-600;;;10.0;02.янв;;;;;;
06.10.2019 20:00;0.6;724.4;770.7;;100;Ветер, дующий с западо-северо-запада;6;;;100%.; ;;;;09.авг;;100%.;50-100;;;03.май;0.6;;;;;;
06.10.2019 23:00;1.0;726.1;772.4;;99;Ветер, дующий с северо-запада;6;;;100%.; ;;;;;;100%.;200-300;;;10.0;0.8;;;;;;
07.10.2019 2:00;0.8;726.8;773.2;;97;Ветер, дующий с северо-северо-запада;3;;;100%.; ;;;;;;100%.;300-600;;;10.0;0.4;;;;;;
07.10.2019 5:00;0.4;727.0;773.5;;89;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;;100%.;300-600;;;10.0;-1.3;;;;;;
07.10.2019 8:00;0.3;727.1;773.7;;95;Ветер, дующий с востоко-юго-востока;3;;;100%.; ;;;0.1;;;60%.;300-600;;;10.0;-0.4;;;;;;
07.10.2019 11:00;04.мар;727.0;772.8;;77;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;;40%.;600-1000;;;10.0;0.6;;;;;;
07.10.2019 14:00;06.фев;725.8;771.1;;80;Ветер, дующий с юга;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;3.0;;;;;;
07.10.2019 17:00;08.мар;724.2;769.1;;70;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;3.0;;;;;;
07.10.2019 20:00;04.сен;723.1;768.5;;91;Ветер, дующий с юго-востока;3;;;100%.; ;;;;08.июн;;;2500 или более, или облаков нет.;;;10.0;03.июн;;;;;;
08.10.2019 2:00;01.июн;720.0;765.8;;100;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;01.июн;;;;;;
08.10.2019 5:00;-0.5;718.9;765.0;;100;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-0.5;;;;;;
08.10.2019 8:00;0.6;718.3;764.2;;100;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;-1.2;;;70 – 80%.;50-100;;;10.0;0.6;;;;;;
08.10.2019 11:00;10.0;717.4;761.7;;68;Ветер, дующий с юга;1;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;04.мар;;;;;;
08.10.2019 14:00;15.фев;715.6;759.0;;47;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;03.авг;;;;;;
08.10.2019 17:00;15.авг;713.8;757.0;;44;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;03.июн;;;;;;
08.10.2019 20:00;11.0;713.4;757.2;;65;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;17.янв;;;2500 или более, или облаков нет.;;;10.0;04.июн;;;;;;
08.10.2019 23:00;10.сен;714.5;758.4;;69;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;40%.;600-1000;;;10.0;05.апр;;;;;;
09.10.2019 2:00;05.июн;716.3;761.2;;93;Ветер, дующий с северо-запада;9;14;;100%.; ;;;;;;60%.;200-300;;;10.0;04.июн;;;;;;
09.10.2019 5:00;02.апр;718.4;764.0;;91;Ветер, дующий с северо-северо-запада;6;;;100%.; ;;;;;;60%.;1500-2000;;;10.0;01.янв;;;;;;
09.10.2019 8:00;0.2;720.3;766.4;;100;Ветер, дующий с северо-запада;7;;;100%.; ;;;0.3;;;100%.;100-200;;;;0.2;;;;;;
09.10.2019 11:00;2.0;722.0;767.9;;79;Ветер, дующий с северо-запада;8;;;100%.; ;;;;;;70 – 80%.;600-1000;;;10.0;-1.3;;;;;;
09.10.2019 14:00;02.мар;721.6;767.5;;68;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;70 – 80%.;600-1000;;;10.0;-3.0;;;;;;
09.10.2019 17:00;3.0;721.8;767.5;;63;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;;70 – 80%.;1000-1500;;;10.0;-3.5;;;;;;
09.10.2019 20:00;0.6;723.2;769.5;;71;Ветер, дующий с северо-запада;5;;;100%.; ;;;;04.мар;;50%.;1000-1500;;;10.0;-4.2;;;;;;
09.10.2019 23:00;-0.3;724.0;770.5;;61;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;50%.;1000-1500;;;10.0;-7.0;;;;;;
10.10.2019 2:00;-1.4;724.0;770.7;;73;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;20–30%.;1000-1500;;;10.0;-5.7;;;;;;
10.10.2019 5:00;-1.7;723.7;770.4;;80;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;20–30%.;1000-1500;;;10.0;-4.8;;;;;;
10.10.2019 8:00;-3.1;724.5;771.5;;87;Ветер, дующий с северо-запада;3;;;100%.; ;;;-3.3;;;10%  или менее, но не 0;300-600;;;10.0;-5.0;;;;;;
10.10.2019 11:00;-0.5;725.5;772.1;;53;Ветер, дующий с северо-северо-запада;6;;;100%.; ;;;;;;50%.;1000-1500;;;10.0;-8.9;;;;;;
10.10.2019 17:00;-0.5;726.4;773.2;;48;Ветер, дующий с северо-северо-запада;5;;;100%.; ;;;;;;70 – 80%.;1000-1500;;;10.0;-10.3;;;;;;
10.10.2019 20:00;-1.8;727.7;774.7;;57;Ветер, дующий с северо-северо-запада;3;;;100%.; ;;;;0.5;;60%.;1500-2000;;;10.0;-9.2;;;;;;
10.10.2019 23:00;-2.7;728.4;775.6;;66;Ветер, дующий с северо-северо-запада;3;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;-8.3;;;;;;
11.10.2019 2:00;-3.3;728.1;775.4;;72;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;;20–30%.;600-1000;;;10.0;-7.6;;;;;;
11.10.2019 5:00;-4.2;728.1;775.6;;84;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-6.5;;;;;;
11.10.2019 8:00;-4.9;728.7;776.3;;81;Ветер, дующий с северо-востока;2;;;100%.; ;;;-5.1;;;;2500 или более, или облаков нет.;;;10.0;-7.7;;;;;;
11.10.2019 14:00;-1.0;728.6;775.6;;42;Ветер, дующий с севера;3;;;100%.; ;;;;;;40%.;600-1000;;;10.0;-12.3;;;;;;
11.10.2019 17:00;0.1;728.5;775.3;;42;Ветер, дующий с запада;3;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;-11.4;;;;;;
11.10.2019 20:00;-1.7;729.4;776.5;;46;Ветер, дующий с северо-востока;1;;;100%.; ;;;;1.0;;40%.;2500 или более, или облаков нет.;;;10.0;-12.0;;;;;;
11.10.2019 23:00;-4.7;730.0;777.7;;59;Ветер, дующий с востоко-северо-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-11.5;;;;;;
12.10.2019 5:00;-10.6;730.2;779.0;;87;Ветер, дующий с северо-востока;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-12.4;;;;;;
12.10.2019 8:00;-10.9;730.9;779.8;;86;Ветер, дующий с северо-востока;4;;;100%.; ;;;-11.5;;;;2500 или более, или облаков нет.;;;10.0;-12.8;;;;;;
12.10.2019 11:00;-1.2;731.7;778.9;;41;Ветер, дующий с востоко-северо-востока;2;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-12.9;;;;;;
12.10.2019 14:00;1.0;731.4;778.2;;36;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-12.5;;;;;;
12.10.2019 17:00;0.5;731.5;778.4;;38;Ветер, дующий с севера;2;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-12.3;;;;;;
12.10.2019 23:00;-7.0;732.5;780.8;;67;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;10.0;-12.2;;;;;;
13.10.2019 2:00;-9.8;732.2;781.0;;86;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;10.0;-11.8;;;;;;
13.10.2019 5:00;-9.9;731.4;780.1;;84;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;10.0;-12.1;;;;;;
13.10.2019 8:00;-8.2;731.2;779.6;;80;Ветер, дующий с востока;3;;;Облаков нет.; ;;;-10.4;;;;;;;10.0;-11.1;;;;;;
13.10.2019 11:00;02.авг;731.2;777.6;;62;Ветер, дующий с юго-юго-востока;5;;;Облаков нет.; ;;;;;;;;;;10.0;-3.8;;;;;;
13.10.2019 14:00;7.0;730.3;775.9;;44;Ветер, дующий с юго-востока;3;;;Облаков нет.; ;;;;;;;;;;10.0;-4.4;;;;;;
13.10.2019 17:00;06.авг;729.9;775.5;;42;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;10.0;-5.3;;;;;;
13.10.2019 20:00;-0.7;730.2;777.1;;76;Ветер, дующий с юга;3;;;Облаков нет.; ;;;;08.янв;;;;;;10.0;-4.5;;;;;;
13.10.2019 23:00;-4.4;730.3;778.0;;91;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;10.0;-5.7;;;;;;
14.10.2019 2:00;-5.6;729.7;777.5;;89;Ветер, дующий с востоко-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;10.0;-7.2;;;;;;
14.10.2019 5:00;-7.4;728.8;776.9;;87;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;10.0;-9.2;;;;;;
14.10.2019 8:00;-6.7;728.5;776.5;;89;Ветер, дующий с востока;3;;;Облаков нет.; ;;;-7.8;;;;;;;10.0;-8.3;;;;;;
14.10.2019 11:00;05.апр;728.6;774.4;;62;Ветер, дующий с юга;4;;;10%  или менее, но не 0; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-1.4;;;;;;
14.10.2019 14:00;11.апр;727.3;772.0;;38;Ветер, дующий с юга;2;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-2.6;;;;;;
14.10.2019 17:00;11.июн;726.3;770.8;;45;Ветер, дующий с юга;2;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;0.0;;;;;;
14.10.2019 20:00;04.мар;725.9;771.7;;60;Ветер, дующий с юга;2;;;20–30%.; ;;;;13.май;;;2500 или более, или облаков нет.;;;10.0;-2.9;;;;;;
14.10.2019 23:00;0.1;725.3;771.8;;63;Ветер, дующий с юго-востока;2;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-6.2;;;;;;
15.10.2019 2:00;-2.2;724.3;771.2;;68;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10.0;-7.3;;;;;;
15.10.2019 5:00;-4.4;723.6;770.8;;75;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;10.0;-8.2;;;;;;
15.10.2019 8:00;-3.6;723.1;770.2;;73;Ветер, дующий с востоко-северо-востока;2;;;70 – 80%.; ;;;-4.8;;;;2500 или более, или облаков нет.;;;10.0;-7.8;;;;;;
15.10.2019 11:00;09.янв;722.8;767.5;;48;Ветер, дующий с юго-юго-востока;3;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-1.5;;;;;;
15.10.2019 14:00;15.июл;721.5;765.1;;28;Ветер, дующий с юга;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-2.7;;;;;;
15.10.2019 17:00;12.авг;720.4;764.5;;49;Ветер, дующий с юго-запада;2;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;02.фев;;;;;;
15.10.2019 20:00;06.июн;721.0;766.0;;48;Ветер, дующий с юго-юго-востока;3;;;50%.; ;;;;16.июл;;;2500 или более, или облаков нет.;;;10.0;-3.6;;;;;;
15.10.2019 23:00;02.мар;720.7;766.5;;73;Ветер, дующий с востока;3;;;50%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-2.1;;;;;;
16.10.2019 2:00;-0.1;719.8;766.0;;91;Ветер, дующий с востока;4;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-1.4;;;;;;
16.10.2019 5:00;-0.7;719.1;765.3;;90;Ветер, дующий с востока;3;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-2.2;;;;;;
16.10.2019 8:00;-1.0;718.9;765.1;;90;Ветер, дующий с востока;4;;;20–30%.; ;;;-3.6;;;;2500 или более, или облаков нет.;;;10.0;-2.5;;;;;;
16.10.2019 14:00;14.0;716.9;760.5;;44;Ветер, дующий с юго-юго-востока;4;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;2.0;;;;;;
16.10.2019 20:00;05.фев;717.3;762.4;;65;Ветер, дующий с юга;2;;;100%.; ;;;;14.июн;;;2500 или более, или облаков нет.;;;10.0;-1.0;;;;;;
16.10.2019 23:00;03.сен;717.4;762.7;;94;Ветер, дующий с востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;3.0;;;;;;
17.10.2019 2:00;-1.7;716.9;763.2;;98;Ветер, дующий с востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-2.0;;;;;;
17.10.2019 5:00;-1.9;716.3;762.6;;99;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-2.0;;;;;;
17.10.2019 8:00;-0.8;715.4;761.4;;100;Ветер, дующий с востока;2;;;100%.; ;;;-3.1;;;;2500 или более, или облаков нет.;;;10.0;-0.8;;;;;;
17.10.2019 11:00;8.0;714.6;759.0;;76;Ветер, дующий с юго-востока;5;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;4.0;;;;;;
17.10.2019 14:00;13.май;712.6;756.1;;45;Ветер, дующий с юго-востока;6;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;01.июн;;;;;;
17.10.2019 17:00;12.фев;711.9;755.5;;42;Ветер, дующий с юго-востока;5;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-0.3;;;;;;
17.10.2019 20:00;05.мар;712.3;757.0;;67;Ветер, дующий с востока;2;;;100%.; ;;;;14.0;;;2500 или более, или облаков нет.;;;10.0;-0.5;;;;;;
17.10.2019 23:00;02.апр;711.9;757.1;;82;Ветер, дующий с востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-0.4;;;;;;
18.10.2019 5:00;06.янв;709.2;753.6;;59;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-1.5;;;;;;
18.10.2019 11:00;11.май;710.1;753.7;;45;Ветер, дующий с юго-юго-запада;3;;;100%.; ;;;;;;40%.;2500 или более, или облаков нет.;;;10.0;-0.2;;;;;;
18.10.2019 17:00;06.июл;717.1;761.9;;62;Ветер, дующий с северо-запада;8;;;100%.; ;;;;;;50%.;600-1000;;;10.0;-0.2;;;;;;
18.10.2019 23:00;03.сен;719.7;765.1;;67;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;;50%.;1500-2000;;;10.0;-1.8;;;;;;
19.10.2019 2:00;03.июл;720.0;765.5;;69;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;;50%.;1500-2000;;;10.0;-1.6;;;;;;
19.10.2019 5:00;01.сен;719.5;765.3;;95;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;;100%.;300-600;;;10.0;01.фев;;;;;;
19.10.2019 8:00;01.июл;719.2;765.0;;98;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;01.май;;;100%.;200-300;;;10.0;01.апр;;;;;;
19.10.2019 11:00;02.май;718.7;764.3;;95;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;70 – 80%.;200-300;;;10.0;01.авг;;;;;;
19.10.2019 14:00;04.янв;718.1;763.4;;78;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;60%.;300-600;;;10.0;0.5;;;;;;
19.10.2019 17:00;04.май;718.1;763.3;;64;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;40%.;600-1000;;;10.0;-1.8;;;;;;
19.10.2019 20:00;0.5;718.8;764.8;;96;Ветер, дующий с юго-юго-запада;1;;;70 – 80%.; ;;;;05.мар;;10%  или менее, но не 0;1500-2000;;;10.0;0.0;;;;;;
19.10.2019 23:00;-0.5;719.1;765.3;;100;Ветер, дующий с северо-запада;1;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;03.апр;-0.5;;;;;;
20.10.2019 2:00;-2.2;718.6;765.0;;100;Ветер, дующий с востока;2;;;60%.; ;;;;;;20–30%.;100-200;;;10.0;-2.2;;;;;;
20.10.2019 8:00;-5.9;718.0;765.1;;99;Ветер, дующий с северо-востока;2;;;100%.; ;;;-6.5;;;40%.;50-100;;;9.0;-6.0;;;;;;
20.10.2019 11:00;0.4;718.8;764.8;;97;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;0.0;;;;;;
20.10.2019 14:00;03.фев;718.8;764.3;;71;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-1.7;;;;;;
20.10.2019 17:00;02.мар;718.9;764.5;;74;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-1.9;;;;;;
20.10.2019 20:00;0.1;719.2;765.3;;85;Штиль, безветрие;0;;;100%.; ;;;;04.июл;;;2500 или более, или облаков нет.;;;8.0;-2.1;;;;;;
20.10.2019 23:00;-1.4;719.2;765.6;;96;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-2.0;;;;;;
21.10.2019 2:00;-1.2;719.5;765.8;;96;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;60%.;200-300;;;10.0;-1.8;;;;;;
21.10.2019 5:00;-1.5;719.6;766.0;;94;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;60%.;300-600;;;10.0;-2.3;;;;;;
21.10.2019 8:00;-1.3;720.0;766.3;;93;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;-2.3;;;70 – 80%.;600-1000;;;10.0;-2.3;;;;;;
21.10.2019 11:00;-0.1;720.6;766.8;;84;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;;100%.;300-600;;;10.0;-2.5;;;;;;
21.10.2019 14:00;01.фев;720.4;766.4;;66;Ветер, дующий с севера;1;;;100%.; ;;;;;;70 – 80%.;600-1000;;;10.0;-4.6;;;;;;
21.10.2019 17:00;01.июл;720.9;766.8;;60;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;-5.3;;;;;;
21.10.2019 20:00;0.4;721.9;768.1;;73;Ветер, дующий с северо-запада;4;;;100%.; ;;;;03.мар;;40%.;1500-2000;;;10.0;-3.9;;;;;;
21.10.2019 23:00;-1.1;722.6;769.1;;79;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;-4.4;;;;;;
22.10.2019 2:00;-1.0;723.5;770.1;;88;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;60%.;600-1000;;;10.0;-2.8;;;;;;
22.10.2019 5:00;-3.0;724.6;771.6;;98;Ветер, дующий с северо-запада;8;;;100%.; ;;;;;;100%.;100-200;;;01.авг;-3.3;;;;;;
22.10.2019 8:00;-4.9;726.3;773.8;;95;Ветер, дующий с западо-северо-запада;8;11;;100%.; ;;;-4.9;;;100%.;200-300;;;02.сен;-5.6;;;;;;
22.10.2019 11:00;-5.1;727.9;775.6;;90;Ветер, дующий с западо-северо-запада;8;;;100%.; ;;;;;;100%.;300-600;;;02.июл;-6.5;;;;;;
22.10.2019 17:00;-3.8;728.3;775.7;;63;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;60%.;600-1000;;;10.0;-9.8;;;;;;
22.10.2019 20:00;-5.6;729.1;777.0;;65;Штиль, безветрие;0;;;60%.; ;;;;-2.7;;;2500 или более, или облаков нет.;;;10.0;-11.2;;;;;;
22.10.2019 23:00;-8.3;729.1;777.4;;90;Ветер, дующий с юго-востока;3;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-9.7;;;;;;
23.10.2019 2:00;-12.5;728.4;777.4;;90;Ветер, дующий с востока;4;;;50%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-13.8;;;;;;
23.10.2019 5:00;-13.0;728.0;777.1;;92;Ветер, дующий с востока;3;;;50%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-14.1;;;;;;
23.10.2019 8:00;-13.2;727.8;776.9;;91;Ветер, дующий с востока;3;;;50%.; ;;;-14.1;;;;2500 или более, или облаков нет.;;;10.0;-14.4;;;;;;
