Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
24.01.2017 23:00;-12.8;720.1;768.7;;75;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-16.4;;;;;;
25.01.2017 5:00;-12.7;723.1;771.9;;87;Ветер, дующий с западо-северо-запада;4;;;Небо не видно из-за тумана и/или других метеорологических явлений.; ;;;;;;;;;;0.5;-14.5;;;;;;
25.01.2017 11:00;-13.0;725.8;774.9;;86;Штиль, безветрие;0;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;-14.9;;;;;;
25.01.2017 23:00;-10.3;728.3;777.0;;91;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;;40%.;1000-1500;;;4.0;-11.5;;;;;;
26.01.2017 5:00;-17.2;727.6;777.4;;85;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;2.0;-19.2;;;;;;
26.01.2017 11:00;-19.8;724.9;775.1;;83;Ветер, дующий с востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-22.0;;;;;;
26.01.2017 17:00;-8.2;721.0;768.7;;58;Ветер, дующий с юга;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-15.0;;;;;;
26.01.2017 23:00;-10.4;717.1;765.1;;55;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-17.8;;;;;;
27.01.2017 5:00;-13.5;716.3;764.8;;79;Ветер, дующий с запада;4;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-16.4;;;;;;
27.01.2017 17:00;-14.5;725.5;774.7;;62;Ветер, дующий с северо-северо-запада;10;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;-20.2;;;;;;
27.01.2017 23:00;-18.7;731.1;781.6;;62;Ветер, дующий с северо-запада;7;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-24.2;;;;;;
28.01.2017 5:00;-21.3;734.5;785.7;;76;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;50%.;600-1000;;;04.май;-24.4;;;;;;
28.01.2017 11:00;-22.2;736.6;788.2;;78;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;;20–30%.;300-600;;;10.0;-25.0;;;;;;
28.01.2017 17:00;-19.6;735.6;786.6;;64;Ветер, дующий с востоко-северо-востока;2;;;50%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-24.8;;;;;;
28.01.2017 23:00;-26.5;732.7;784.9;;80;Ветер, дующий с востока;4;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-28.9;;;;;;
29.01.2017 5:00;-22.7;727.8;778.9;;65;Ветер, дующий с востока;3;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-27.5;;;;;;
29.01.2017 11:00;-16.3;726.0;775.6;;48;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;10.0;-24.9;;;;;;
