Местное время на Большом Ушканьем о.;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
03.02.2017 14:00;-13.1;726.0;;;85;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
03.02.2017 20:00;-16.9;726.0;;;85;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;-13.1;;;;;;;;0.2;;;;;
04.02.2017 2:00;-17.6;727.0;;;90;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
04.02.2017 8:00;;727.0;;;;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
04.02.2017 14:00;-14.5;727.0;;;85;Ветер, дующий с северо-востока;3;;;100%.; ;;;;;;;;;;50.0;;;;;;;
04.02.2017 20:00;-18.4;729.0;;;90;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;-14.5;;;;;;;;Следы осадков;;;;;
05.02.2017 2:00;;731.0;;;;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
05.02.2017 8:00;;717.0;;;;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;-21.8;;;;;;;50.0;;;;;;;
05.02.2017 14:00;-16.7;731.0;;;90;Ветер, дующий с юга;3;;;50%.; ;;;;;;;;;;50.0;;;;;;;
05.02.2017 20:00;-17.6;731.0;;;90;Ветер, дующий с северо-востока;5;;;100%.; ;;;;-16.7;;;;;;;;;;;;;
06.02.2017 2:00;-17.2;732.0;;;85;Ветер, дующий с севера;3;;;100%.; ;;;;;;;;;;;;;;;;;
06.02.2017 8:00;-15.1;734.0;;;90;Ветер, дующий с юга;4;;;100%.; ;;;-17.6;;;;;;;10.0;;1.0;;;;;
06.02.2017 14:00;-12.9;736.0;;;90;Ветер, дующий с юга;4;;;100%.; ;;;;;;;;;;10.0;;;;;;;
06.02.2017 20:00;-14.3;738.0;;;90;Ветер, дующий с юга;1;;;40%.; ;;;;-12.9;;;;;;;;0.8;;;;;
07.02.2017 2:00;-19.0;739.0;;;90;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
07.02.2017 8:00;-19.1;741.0;;;90;Ветер, дующий с юго-востока;3;;;20–30%.; ;;;-21.5;;;;;;;50.0;;;;;;;
07.02.2017 14:00;-17.8;741.0;;;90;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
07.02.2017 20:00;-20.4;741.0;;;90;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;-17.8;;;;;;;;;;;;;
08.02.2017 2:00;-21.7;741.0;;;90;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
08.02.2017 8:00;-21.5;740.0;;;90;Ветер, дующий с севера;2;;;Облаков нет.; ;;;-22.2;;;;;;;50.0;;;;;;;
08.02.2017 14:00;-20.4;739.0;;;90;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
08.02.2017 20:00;-22.5;738.0;;;90;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;-20.4;;;;;;;;;;;;;
09.02.2017 2:00;;737.0;;;;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
09.02.2017 8:00;;737.0;;;;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;-25.7;;;;;;;50.0;;;;;;;
09.02.2017 14:00;-18.7;736.0;;;85;Ветер, дующий с севера;2;;;10%  или менее, но не 0; ;;;;;;;;;;50.0;;;;;;;
09.02.2017 20:00;-19.8;735.0;;;85;Ветер, дующий с севера;4;;;10%  или менее, но не 0; ;;;;-18.7;;;;;;;;;;;;;
10.02.2017 2:00;;734.0;;;;Ветер, дующий с северо-востока;4;;;20–30%.; ;;;;;;;;;;;;;;;;;
10.02.2017 8:00;;733.0;;;;Ветер, дующий с севера;4;;;Облаков нет.; ;;;-21.6;;;;;;;50.0;;;;;;;
10.02.2017 14:00;-17.7;731.0;;;70;Ветер, дующий с северо-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
