Местное время на Большом Ушканьем о.;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
06.04.2019 14:00;-4.6;726.0;;;72;Ветер, дующий с севера;4;;;10%  или менее, но не 0; ;;;;;;;;;;50.0;;;;;;;
06.04.2019 20:00;-3.7;726.0;;;60;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;-3.7;;;;;;50.0;;Осадков нет;12;;;;
07.04.2019 2:00;-9.7;726.0;;;72;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
07.04.2019 8:00;-8.1;726.0;;;72;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;-11.9;;;;;;;50.0;;Осадков нет;12;;;;
07.04.2019 14:00;-4.4;726.0;;;58;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
07.04.2019 20:00;-5.2;724.0;;;61;Ветер, дующий с северо-востока;4;;;20–30%.; ;;;;-4.4;;;;;;50.0;;Осадков нет;12;;;;
08.04.2019 2:00;-6.4;725.0;;;50;Ветер, дующий с северо-востока;6;;;40%.; ;;;;;;;;;;;;;;;;;
08.04.2019 8:00;-8.5;726.0;;;56;Ветер, дующий с севера;5;;;20–30%.; ;;;-9.5;;;;;;;50.0;;Осадков нет;12;;;;
08.04.2019 14:00;-2.4;728.0;;;65;Ветер, дующий с юга;1;;;60%.; ;;;;;;;;;;50.0;;;;;;;
08.04.2019 20:00;-3.9;728.0;;;75;Ветер, дующий с юго-востока;5;;;60%.; ;;;;-2.4;;;;;;50.0;;Осадков нет;12;;;;
09.04.2019 2:00;-4.6;729.0;;;76;Ветер, дующий с востока;3;;;20–30%.; ;;;;;;;;;;;;;;;;;
09.04.2019 8:00;-6.0;730.0;;;71;Ветер, дующий с северо-запада;2;;;70 – 80%.; ;;;-7.8;;;;;;;50.0;;Осадков нет;12;;;;
09.04.2019 14:00;0.3;730.0;;;71;Ветер, дующий с юго-востока;4;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
09.04.2019 20:00;-0.8;729.0;;;65;Ветер, дующий с юго-запада;2;;;40%.; ;;;;0.3;;;;;;50.0;;Осадков нет;12;;;;
10.04.2019 2:00;-4.8;727.0;;;71;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
10.04.2019 8:00;-9.3;726.0;;;82;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;-11.0;;;;;;;50.0;;Осадков нет;12;;;;
10.04.2019 14:00;-2.6;723.0;;;86;Ветер, дующий с севера;2;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
10.04.2019 20:00;-3.0;718.0;;;91;Ветер, дующий с северо-востока;1;;;70 – 80%.; ;;;;-2.6;;;;;;50.0;;Осадков нет;12;;;;
11.04.2019 2:00;-5.9;715.0;;;94;Ветер, дующий с севера;2;;;50%.; ;;;;;;;;;;;;;;;;;
11.04.2019 8:00;-2.6;716.0;;;72;Ветер, дующий с запада;2;;;100%.; ;;;-6.2;;;;;;;50.0;;Осадков нет;12;;;;
11.04.2019 14:00;03.апр;718.0;;;50;Ветер, дующий с запада;2;;;40%.; ;;;;;;;;;;50.0;;;;;;;
11.04.2019 20:00;-2.0;719.0;;;52;Ветер, дующий с севера;8;;;60%.; ;;;;03.апр;;;;;;50.0;;Осадков нет;12;;;;
12.04.2019 2:00;-4.4;722.0;;;56;Ветер, дующий с северо-запада;5;;;40%.; ;;;;;;;;;;;;;;;;;
12.04.2019 8:00;-6.9;722.0;;;64;Ветер, дующий с юго-востока;4;;;10%  или менее, но не 0; ;;;-7.7;;;;;;;50.0;;Осадков нет;12;;;;
12.04.2019 14:00;-1.6;721.0;;;70;Ветер, дующий с юга;6;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
12.04.2019 20:00;-2.4;721.0;;;74;Ветер, дующий с юго-запада;2;;;100%.; ;;;;-1.6;;;;;;50.0;;Осадков нет;12;;;;
13.04.2019 2:00;-3.9;722.0;;;96;Ветер, дующий с севера;3;;;20–30%.; ;;;;;;;;;;;;;;;;;
13.04.2019 8:00;-4.8;725.0;;;64;Ветер, дующий с северо-запада;1;;;20–30%.; ;;;-7.2;;;;;;;50.0;;Осадков нет;12;;;;
13.04.2019 14:00;-3.4;724.0;;;59;Ветер, дующий с юга;4;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
13.04.2019 20:00;-3.6;719.0;;;89;Ветер, дующий с юга;7;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;;-3.4;;;;;;10.0;;Следы осадков;12;;;;
14.04.2019 2:00;-0.4;714.0;;;68;Ветер, дующий с юго-востока;8;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;;;;;;;;;;;;;;
14.04.2019 8:00;0.9;712.0;;;73;Ветер, дующий с юго-востока;6;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;;;-3.6;;;;;;;20.0;;Следы осадков;12;;;;
14.04.2019 14:00;03.мар;712.0;;;73;Ветер, дующий с юго-запада;6;;;90  или более, но не 100%;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;;;;;;;;;;20.0;;;;;;;
14.04.2019 20:00;06.май;713.0;;;66;Ветер, дующий с севера;1;;;100%.; ;;;;06.май;;;;;;50.0;;Осадков нет;12;;;;
15.04.2019 2:00;03.апр;713.0;;;61;Ветер, дующий с северо-запада;6;;;90  или более, но не 100%; ;;;;;;;;;;;;;;;;;
15.04.2019 8:00;01.фев;714.0;;;63;Ветер, дующий с запада;1;;;100%.; ;;;1.0;;;;;;;50.0;;Осадков нет;12;;;;
15.04.2019 14:00;-0.4;714.0;;;66;Ветер, дующий с юго-востока;4;;;100%.; ;;;;;;;;;;50.0;;;;;;;
15.04.2019 20:00;-1.4;714.0;;;94;Ветер, дующий с юго-запада;5;;;40%.; ;;;;-0.4;;;;;;50.0;;Осадков нет;12;;;;
16.04.2019 2:00;-2.8;716.0;;;71;Ветер, дующий с севера;3;;;20–30%.; ;;;;;;;;;;;;;;;;;
16.04.2019 8:00;-3.2;715.0;;;59;Ветер, дующий с севера;4;;;100%.; ;;;-4.8;;;;;;;50.0;;Осадков нет;12;;;;
16.04.2019 14:00;-2.0;713.0;;;50;Ветер, дующий с севера;5;;;100%.; ;;;;;;;;;;50.0;;;;;;;
16.04.2019 20:00;-2.8;714.0;;;62;Ветер, дующий с севера;4;;;100%.; ;;;;-2.0;;;;;;50.0;;Осадков нет;12;;;;
17.04.2019 2:00;-6.6;716.0;;;73;Ветер, дующий с северо-востока;2;;;60%.; ;;;;;;;;;;;;;;;;;
17.04.2019 8:00;-5.8;720.0;;;56;Ветер, дующий с севера;2;;;60%.; ;;;-8.5;;;;;;;50.0;;Осадков нет;12;;;;
17.04.2019 14:00;-0.6;722.0;;;45;Ветер, дующий с запада;1;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
17.04.2019 20:00;-2.0;724.0;;;63;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;-0.6;;;;;;50.0;;Осадков нет;12;;;;
18.04.2019 2:00;-4.8;724.0;;;52;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
18.04.2019 8:00;-5.5;723.0;;;65;Ветер, дующий с северо-востока;5;;;Облаков нет.; ;;;-7.7;;;;;;;50.0;;Осадков нет;12;;;;
18.04.2019 14:00;-1.8;720.0;;;63;Ветер, дующий с северо-востока;7;;;60%.; ;;;;;;;;;;50.0;;;;;;;
18.04.2019 20:00;-0.7;715.0;;;49;Ветер, дующий с севера;3;;;100%.; ;;;;-0.7;;;;;;50.0;;Осадков нет;12;;;;
19.04.2019 8:00;-1.8;710.0;;;75;Ветер, дующий с юга;2;;;100%.; ;;;-2.6;;;;;;;50.0;;Осадков нет;12;;;;
19.04.2019 20:00;-2.9;722.0;;;49;Ветер, дующий с северо-запада;5;;;100%.; ;;;;0.7;;;;;;50.0;;Осадков нет;12;;;;
20.04.2019 8:00;-4.4;723.0;;;63;Ветер, дующий с северо-запада;7;;;10%  или менее, но не 0; ;;;-4.6;;;;;;;50.0;;Осадков нет;12;;;;
20.04.2019 20:00;-1.0;720.0;;;63;Ветер, дующий с юга;5;;;Облаков нет.; ;;;;-1.0;;;;;;50.0;;Осадков нет;12;;;;
21.04.2019 8:00;-5.3;718.0;;;65;Ветер, дующий с севера;4;;;10%  или менее, но не 0; ;;;-6.0;;;;;;;50.0;;Осадков нет;12;;;;
21.04.2019 20:00;-0.8;713.0;;;73;Ветер, дующий с севера;5;;;100%.; ;;;;-0.4;;;;;;50.0;;Осадков нет;12;;;;
22.04.2019 8:00;-0.7;716.0;;;85;Ветер, дующий с юго-востока;4;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
22.04.2019 20:00;01.сен;720.0;;;48;Ветер, дующий с северо-запада;5;;;10%  или менее, но не 0; ;;;;01.сен;;;;;;50.0;;Осадков нет;12;;;;
23.04.2019 8:00;-3.4;726.0;;;68;Ветер, дующий с северо-запада;5;;;10%  или менее, но не 0; ;;;-5.0;;;;;;;50.0;;Осадков нет;12;;;;
23.04.2019 20:00;-1.0;729.0;;;59;Ветер, дующий с северо-востока;2;;;20–30%.; ;;;;0.2;;;;;;50.0;;Осадков нет;12;;;;
24.04.2019 8:00;-4.6;729.0;;;74;Ветер, дующий с востока;1;;;Облаков нет.; ;;;-6.1;;;;;;;50.0;;Осадков нет;12;;;;
24.04.2019 20:00;-1.6;723.0;;;82;Ветер, дующий с севера;6;;;20–30%.; ;;;;-1.0;;;;;;50.0;;Осадков нет;12;;;;
25.04.2019 8:00;-1.8;723.0;;;55;Ветер, дующий с севера;4;;;70 – 80%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
25.04.2019 20:00;0.0;721.0;;;77;Ветер, дующий с юго-востока;1;;;10%  или менее, но не 0; ;;;;0.8;;;;;;50.0;;Осадков нет;12;;;;
26.04.2019 8:00;-0.8;717.0;;;62;Ветер, дующий с севера;5;;;100%.; ;;;-2.4;;;;;;;50.0;;Осадков нет;12;;;;
26.04.2019 20:00;01.янв;717.0;;;75;Ветер, дующий с юго-востока;4;;;40%.; ;;;;03.сен;;;;;;50.0;;Осадков нет;12;;;;
27.04.2019 8:00;01.сен;720.0;;;80;Ветер, дующий с юга;7;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
27.04.2019 20:00;03.фев;718.0;;;73;Ветер, дующий с севера;5;;;100%.; ;;;;04.май;;;;;;50.0;;Осадков нет;12;;;;
28.04.2019 8:00;02.сен;717.0;;;71;Ветер, дующий с юго-востока;1;;;40%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
28.04.2019 20:00;03.фев;713.0;;;71;Ветер, дующий с севера;6;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
29.04.2019 8:00;01.авг;723.0;;;67;Ветер, дующий с северо-запада;7;;;10%  или менее, но не 0; ;;;01.мар;;;;;;;50.0;;Следы осадков;12;;;;
29.04.2019 20:00;04.июн;719.0;;;66;Ветер, дующий с запада;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;04.июн;;;;;;20.0;;Следы осадков;12;;;;
30.04.2019 8:00;0.9;723.0;;;55;Ветер, дующий с севера;2;;;70 – 80%.; ;;;-1.4;;;;;;;50.0;;Следы осадков;12;;;;
30.04.2019 20:00;01.июл;719.0;;;39;Ветер, дующий с севера;6;;;90  или более, но не 100%; ;;;;02.фев;;;;;;50.0;;Осадков нет;12;;;;
01.05.2019 8:00;0.2;719.0;;;76;Ветер, дующий с севера;3;;;Облаков нет.; ;;;-2.0;;;;;;;50.0;;Осадков нет;12;;;;
01.05.2019 20:00;03.фев;712.0;;;71;Ветер, дующий с северо-востока;1;;;10%  или менее, но не 0; ;;;;03.фев;;;;;;50.0;;Осадков нет;12;;;;
02.05.2019 8:00;9.0;717.0;;;48;Ветер, дующий с востока;1;;;90  или более, но не 100%; ;;;-0.9;;;;;;;50.0;;Осадков нет;12;;;;
02.05.2019 20:00;03.мар;723.0;;;68;Ветер, дующий с юго-востока;2;;;60%.; ;;;;05.авг;;;;;;50.0;;Осадков нет;12;;;;
03.05.2019 8:00;-0.5;729.0;;;62;Ветер, дующий с севера;4;;;100%.; ;;;-1.7;;;;;;;50.0;;Осадков нет;12;;;;
03.05.2019 20:00;0.2;730.0;;;72;Ветер, дующий с севера;3;;;90  или более, но не 100%; ;;;;01.июн;;;;;;50.0;;Осадков нет;12;;;;
04.05.2019 8:00;0.2;735.0;;;55;Ветер, дующий с юга;1;;;Облаков нет.; ;;;-2.9;;;;;;;50.0;;Осадков нет;12;;;;
04.05.2019 20:00;0.8;735.0;;;79;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;01.авг;;;;;;50.0;;Осадков нет;12;;;;
05.05.2019 8:00;-1.4;734.0;;;70;Ветер, дующий с юго-запада;2;;;70 – 80%.; ;;;-4.1;;;;;;;50.0;;Осадков нет;12;;;;
05.05.2019 20:00;02.июн;729.0;;;67;Ветер, дующий с востока;2;;;90  или более, но не 100%; ;;;;03.сен;;;;;;50.0;;Осадков нет;12;;;;
06.05.2019 8:00;1.0;728.0;;;74;Ветер, дующий с юга;5;;;90  или более, но не 100%; ;;;-1.6;;;;;;;50.0;;Осадков нет;12;;;;
06.05.2019 20:00;01.апр;723.0;;;85;Ветер, дующий с севера;5;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
07.05.2019 8:00;03.янв;720.0;;;73;Ветер, дующий с юго-востока;5;;;90  или более, но не 100%; ;;;0.3;;;;;;;50.0;;Осадков нет;12;;;;
07.05.2019 20:00;06.янв;720.0;;;54;Ветер, дующий с запада;1;;;20–30%.; ;;;;09.май;;;;;;50.0;;Осадков нет;12;;;;
08.05.2019 8:00;03.мар;716.0;;;83;Ветер, дующий с юга;7;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;;;02.июл;;;;;;;20.0;;Осадков нет;12;;;;
08.05.2019 20:00;05.янв;712.0;;;86;Ветер, дующий с севера;3;;;90  или более, но не 100%;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;;;;05.янв;;;;;;20.0;;0.1;12;;;;
09.05.2019 8:00;02.авг;712.0;;;75;Ветер, дующий с северо-запада;6;;;90  или более, но не 100%; ;;;02.фев;;;;;;;50.0;;Следы осадков;12;;;;
09.05.2019 20:00;3.0;716.0;;;56;Ветер, дующий с севера;2;;;20–30%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
10.05.2019 8:00;-0.1;718.0;;;80;Ветер, дующий с северо-запада;4;;;20–30%.; ;;;-2.8;;;;;;;50.0;;Осадков нет;12;;;;
10.05.2019 20:00;0.7;723.0;;;75;Ветер, дующий с юга;3;;;100%.; ;;;;01.фев;;;;;;50.0;;Осадков нет;12;;;;
11.05.2019 8:00;01.фев;726.0;;;76;Ветер, дующий с севера;3;;;50%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
11.05.2019 20:00;0.7;725.0;;;86;Ветер, дующий с юго-востока;2;;;20–30%.; ;;;;01.сен;;;;;;50.0;;Осадков нет;12;;;;
12.05.2019 8:00;0.6;721.0;;;75;Ветер, дующий с юго-востока;2;;;70 – 80%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
12.05.2019 20:00;05.апр;715.0;;;46;Ветер, дующий с юго-востока;1;;;90  или более, но не 100%; ;;;;05.апр;;;;;;50.0;;Осадков нет;12;;;;
13.05.2019 8:00;01.янв;713.0;;;75;Ветер, дующий с востока;2;;;100%.; ;;;-0.9;;;;;;;50.0;;Осадков нет;12;;;;
13.05.2019 20:00;1.0;716.0;;;98;Ветер, дующий с северо-запада;1;;;20–30%.;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;0.9;12;;;;
14.05.2019 8:00;0.6;714.0;;;94;Ветер, дующий с севера;4;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
14.05.2019 20:00;1.0;714.0;;;98;Ветер, дующий с юго-запада;4;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;;;;;;;2.0;;2.0;12;;;;
15.05.2019 8:00;2.0;712.0;;;71;Ветер, дующий с северо-востока;2;;;90  или более, но не 100%; ;;;0.5;;;;;;;50.0;;1.0;12;;;;
15.05.2019 20:00;03.мар;712.0;;;65;Ветер, дующий с севера;2;;;90  или более, но не 100%; ;;;;05.авг;;;;;;50.0;;Осадков нет;12;;;;
16.05.2019 8:00;3.0;713.0;;;68;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
16.05.2019 20:00;01.сен;717.0;;;87;Ветер, дующий с севера;2;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
17.05.2019 8:00;0.5;718.0;;;96;Ветер, дующий с юга;1;;;100%.; ;;;0.3;;;;;;;50.0;;Осадков нет;12;;;;
17.05.2019 20:00;03.апр;720.0;;;70;Ветер, дующий с юго-востока;1;;;100%.;Состояние неба в общем не изменилось. ;;;;03.апр;;;;;;50.0;;Следы осадков;12;;;;
18.05.2019 8:00;03.фев;721.0;;;71;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
18.05.2019 20:00;02.сен;723.0;;;76;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;3.0;;;;;;50.0;;Следы осадков;12;;;;
19.05.2019 8:00;03.фев;724.0;;;69;Ветер, дующий с юга;2;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
19.05.2019 20:00;03.авг;723.0;;;70;Ветер, дующий с востока;2;;;10%  или менее, но не 0; ;;;;03.сен;;;;;;50.0;;Осадков нет;12;;;;
20.05.2019 8:00;03.янв;717.0;;;47;Ветер, дующий с юга;1;;;40%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
20.05.2019 20:00;03.июн;720.0;;;75;Ветер, дующий с востока;2;;;70 – 80%.; ;;;;4.0;;;;;;50.0;;Осадков нет;12;;;;
21.05.2019 8:00;03.июл;718.0;;;63;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
21.05.2019 20:00;07.апр;713.0;;;38;Ветер, дующий с северо-востока;5;;;100%.; ;;;;07.апр;;;;;;50.0;;Осадков нет;12;;;;
22.05.2019 8:00;2.0;710.0;;;85;Ветер, дующий с востока;1;;;100%.; ;;;1.0;;;;;;;50.0;;Осадков нет;12;;;;
22.05.2019 20:00;04.май;711.0;;;76;Ветер, дующий с севера;4;;;90  или более, но не 100%; ;;;;04.май;;;;;;50.0;;Следы осадков;12;;;;
23.05.2019 8:00;9.0;712.0;;;52;Ветер, дующий с северо-востока;4;;;70 – 80%.; ;;;01.авг;;;;;;;50.0;;Осадков нет;12;;;;
23.05.2019 20:00;07.авг;714.0;;;67;Ветер, дующий с севера;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;;;;07.авг;;;;;;50.0;;Следы осадков;12;;;;
24.05.2019 8:00;06.янв;720.0;;;67;Ветер, дующий с юго-востока;3;;;20–30%.; ;;;03.фев;;;;;;;50.0;;Осадков нет;12;;;;
24.05.2019 20:00;04.мар;721.0;;;79;Ветер, дующий с юга;1;;;90  или более, но не 100%; ;;;;07.янв;;;;;;50.0;;Осадков нет;12;;;;
25.05.2019 8:00;3.0;724.0;;;88;Ветер, дующий с востока;2;;;10%  или менее, но не 0; ;;;01.апр;;;;;;;50.0;;Осадков нет;12;;;;
25.05.2019 20:00;7.0;726.0;;;58;Ветер, дующий с севера;2;;;10%  или менее, но не 0; ;;;;7.0;;;;;;50.0;;Осадков нет;12;;;;
26.05.2019 8:00;02.авг;728.0;;;86;Ветер, дующий с юго-востока;2;;;20–30%.; ;;;02.май;;;;;;;50.0;;Осадков нет;12;;;;
26.05.2019 20:00;8.0;725.0;;;41;Ветер, дующий с севера;4;;;20–30%.; ;;;;8.0;;;;;;50.0;;Осадков нет;12;;;;
27.05.2019 8:00;04.фев;724.0;;;60;Ветер, дующий с северо-востока;6;;;100%.; ;;;02.июл;;;;;;;50.0;;Осадков нет;12;;;;
27.05.2019 20:00;07.мар;723.0;;;59;Ветер, дующий с юго-запада;3;;;10%  или менее, но не 0; ;;;;10.май;;;;;;50.0;;Осадков нет;12;;;;
28.05.2019 8:00;07.фев;726.0;;;66;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
28.05.2019 20:00;04.май;728.0;;;84;Ветер, дующий с запада;2;;;20–30%.; ;;;;04.июн;;;;;;50.0;;0.5;12;;;;
29.05.2019 8:00;04.авг;726.0;;;77;Ветер, дующий с запада;1;;;20–30%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
29.05.2019 20:00;05.май;725.0;;;66;Ветер, дующий с юго-востока;1;;;10%  или менее, но не 0; ;;;;7.0;;;;;;50.0;;Осадков нет;12;;;;
30.05.2019 8:00;04.июн;723.0;;;77;Ветер, дующий с юга;4;;;100%.; ;;;02.июн;;;;;;;50.0;;Осадков нет;12;;;;
30.05.2019 20:00;09.апр;720.0;;;55;Ветер, дующий с северо-востока;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;;;;09.апр;;;;;;50.0;;Следы осадков;12;;;;
31.05.2019 8:00;04.авг;716.0;;;84;Ветер, дующий с юга;1;;;100%.; ;;;4.0;;;;;;;50.0;;Осадков нет;12;;;;
31.05.2019 20:00;5.0;712.0;;;81;Ветер, дующий с севера;7;;;40%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
01.06.2019 8:00;05.фев;711.0;;;81;Ветер, дующий с северо-востока;7;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
01.06.2019 20:00;06.авг;714.0;;;79;Ветер, дующий с юго-востока;4;;;100%.; ;;;;06.авг;;;;;;50.0;;Осадков нет;12;;;;
02.06.2019 8:00;6.0;715.0;;;91;Ветер, дующий с северо-востока;2;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;4.0;12;;;;
02.06.2019 20:00;06.авг;714.0;;;88;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
03.06.2019 8:00;05.апр;;;;80;Ветер, дующий с севера;6;;;100%.; ;;;4.0;;;;;;;50.0;;Осадков нет;12;;;;
03.06.2019 20:00;04.май;715.0;;;99;Ветер, дующий с юго-востока;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;;;;;;;2.0;;5.0;12;;;;
04.06.2019 8:00;05.апр;716.0;;;94;Ветер, дующий с юга;1;;;100%.; ;;;03.май;;;;;;;50.0;;1.0;12;;;;
04.06.2019 20:00;08.авг;717.0;;;76;Ветер, дующий с запада;5;;;100%.; ;;;;08.авг;;;;;;50.0;;Осадков нет;12;;;;
05.06.2019 8:00;04.июн;716.0;;;93;Ветер, дующий с северо-запада;2;;;100%.; ;;;4.0;;;;;;;50.0;;Осадков нет;12;;;;
05.06.2019 20:00;8.0;718.0;;;76;Ветер, дующий с запада;1;;;10%  или менее, но не 0; ;;;;8.0;;;;;;50.0;;Осадков нет;12;;;;
06.06.2019 8:00;04.апр;719.0;;;93;Ветер, дующий с севера;1;;;10%  или менее, но не 0; ;;;04.апр;;;;;;;50.0;;Осадков нет;12;;;;
06.06.2019 20:00;4.0;719.0;;;95;Ветер, дующий с юго-востока;3;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
07.06.2019 8:00;04.сен;719.0;;;89;Ветер, дующий с юго-востока;3;;;90  или более, но не 100%; ;;;04.сен;;;;;;;50.0;;Осадков нет;12;;;;
07.06.2019 20:00;06.фев;720.0;;;88;Ветер, дующий с северо-востока;1;;;20–30%.; ;;;;08.июн;;;;;;50.0;;Осадков нет;12;;;;
08.06.2019 8:00;04.сен;720.0;;;89;Ветер, дующий с юга;1;;;Облаков нет.; ;;;04.сен;;;;;;;50.0;;Осадков нет;12;;;;
08.06.2019 20:00;17.0;718.0;;;48;Ветер, дующий с северо-востока;3;;;90  или более, но не 100%; ;;;;17.0;;;;;;50.0;;Осадков нет;12;;;;
09.06.2019 8:00;06.май;719.0;;;78;Ветер, дующий с юго-востока;3;;;10%  или менее, но не 0; ;;;5.0;;;;;;;50.0;;Осадков нет;12;;;;
09.06.2019 20:00;09.апр;717.0;;;79;Ветер, дующий с юга;1;;;20–30%.; ;;;;09.апр;;;;;;50.0;;Осадков нет;12;;;;
10.06.2019 8:00;08.авг;716.0;;;68;Ветер, дующий с севера;6;;;60%.; ;;;;;;;;;;50.0;;Осадков нет;12;;;;
10.06.2019 20:00;18.0;711.0;;;37;Ветер, дующий с северо-востока;5;;;70 – 80%.; ;;;;18.0;;;;;;50.0;;Осадков нет;12;;;;
11.06.2019 8:00;08.июн;709.0;;;74;Ветер, дующий с юго-востока;3;;;90  или более, но не 100%; ;;;06.май;;;;;;;50.0;;Осадков нет;12;;;;
11.06.2019 20:00;08.янв;716.0;;;72;Ветер, дующий с юго-востока;4;;;100%.; ;;;;08.июн;;;;;;50.0;;0.7;12;;;;
12.06.2019 8:00;11.сен;720.0;;;62;Ветер, дующий с северо-запада;2;;;20–30%.; ;;;05.сен;;;;;;;50.0;;Осадков нет;12;;;;
12.06.2019 20:00;13.янв;721.0;;;48;Ветер, дующий с юго-востока;1;;;100%.; ;;;;13.янв;;;;;;50.0;;Осадков нет;12;;;;
13.06.2019 8:00;13.янв;722.0;;;25;Ветер, дующий с севера;1;;;Облаков нет.; ;;;5.0;;;;;;;50.0;;Осадков нет;12;;;;
13.06.2019 20:00;14.июн;719.0;;;37;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;14.июн;;;;;;50.0;;Осадков нет;12;;;;
14.06.2019 2:00;08.авг;718.0;;;48;Ветер, дующий с северо-востока;4;;;20–30%.; ;;;;;;;;;;;;;;;;;
14.06.2019 8:00;11.сен;717.0;;;47;Ветер, дующий с севера;7;;;40%.; ;;;08.апр;;;;;;;50.0;;Осадков нет;12;;;;
14.06.2019 14:00;10.июн;715.0;;;63;Ветер, дующий с севера;5;;;100%.; ;;;;;;;;;;50.0;;;;;;;
14.06.2019 20:00;12.июн;713.0;;;69;Ветер, дующий с севера;6;;;100%.; ;;;;12.июн;;;;;;50.0;;Осадков нет;12;;;;
15.06.2019 2:00;15.мар;713.0;;;48;Ветер, дующий с севера;5;;;100%.; ;;;;;;;;;;;;;;;;;
15.06.2019 8:00;16.мар;713.0;;;48;Ветер, дующий с севера;3;;;100%.; ;;;08.янв;;;;;;;50.0;;Осадков нет;12;;;;
15.06.2019 14:00;13.июл;713.0;;;58;Ветер, дующий с севера;7;;;100%.; ;;;;;;;;;;50.0;;;;;;;
15.06.2019 20:00;08.апр;714.0;;;78;Ветер, дующий с юго-востока;3;;;100%.;Ливневый(ые) дождь(и). ;;;;13.июл;;;;;;50.0;;0.8;12;;;;
16.06.2019 2:00;6.0;715.0;;;91;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;;;;;;;;;;;;;
16.06.2019 8:00;10.0;715.0;;;76;Ветер, дующий с севера;5;;;90  или более, но не 100%; ;;;5.0;;;;;;;50.0;;Осадков нет;12;;;;
16.06.2019 14:00;18.фев;715.0;;;56;Ветер, дующий с севера;6;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;;;;;;
