poryadkovy_nomer;tip;razryad;ugms;imya_stancii;repernayavekovay;sinopticheski_in;obshhesoyuzny_no;obshhesoyuzny_no1;obshhesoyuzny_no2;shirota;dolgota;raznost_mezhdu_p;territorialny_ko;cgms;status_sete_klim;priznak_proveden;priznak_proveden1;status_sete_gidr;status_sete_mors;status_sete_agro;priznak_proveden2;priznak_proveden3;priznak_proveden4;priznak_proveden5;stanciya_zakonse;data_zakrytiya_s;id;is_deleted;classname;created_by;edited_by;edited_on;created_on;published;point;kontroliruemye_p;vidy_informacion;vidy_infyx_resur;nablyudaemye_pok;periodichnost_ot
4854;Агрометеорологический пост;0;ФГБУ Иркутское УГМС;КУЙТУН;0;65631;5421101321;;65631;54.35;101.53;5;138;Отсутствует;3;0;0;0;0;4;0;0;0;1;0;;581;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.445321;2021-02-26 17:11:02.445321+08;f;0104000020E610000001000000010100000052B81E85EB615940CDCCCCCCCC2C4B40;;;;;
5013;Пост наблюдения за загрязнением природной среды;0;ФГБУ Иркутское УГМС;БРАТСК №3;0;;;;;56.28;101.75;5;138;Братский ЦГМС;0;0;0;0;0;0;0;0;0;1;0;;582;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.459911;2021-02-26 17:11:02.459911+08;f;0104000020E61000000100000001010000000000000000705940A4703D0AD7234C40;;;;;
4792;Метеорологическая станция;2;ФГБУ Забайкальское УГМС;ОРЛИК;1;29998;5259980;;29998;52.50;99.82;5;104;Бурятский ЦГМС;2;0;0;0;0;0;0;0;0;1;0;;583;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.475437;2021-02-26 17:11:02.475437+08;f;0104000020E610000001000000010100000014AE47E17AF458400000000000404A40;;;;;
4774;Пост наблюдения за загрязнением природной среды;0;ФГБУ Забайкальское УГМС;КРАСНОКАМЕНСК;0;;5011811;;;50.10;118.03;6;175;Отсутствует;0;0;0;0;0;0;0;0;0;1;0;;585;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.508965;2021-02-26 17:11:02.508965+08;f;0104000020E610000001000000010100000052B81E85EB815D40CDCCCCCCCC0C4940;;;;;
4658;Гидрологический пост;1;ФГБУ Забайкальское УГМС;КУМАХТА-р.Тура;1;;512111344;;;51.33;113.72;6;175;Отсутствует;1;0;0;2;0;0;0;0;0;0;0;;586;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.528324;2021-02-26 17:11:02.528324+08;f;0104000020E6100000010000000101000000AE47E17A146E5C400AD7A3703DAA4940;;;;;
4668;Гидрологический пост;1;ФГБУ Забайкальское УГМС;МИРОНОВО-р.Куренга;1;;515811739;;;51.97;117.65;6;175;Отсутствует;1;0;0;2;0;0;0;0;0;1;0;;587;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.545732;2021-02-26 17:11:02.545732+08;f;0104000020E61000000100000001010000009A99999999695D405C8FC2F528FC4940;;;;;
4737;Озерный гидрометеорологический пост;1;ФГБУ Забайкальское УГМС;ИСТОК-оз.Котокельское;0;;525210812;;;52.87;108.22;5;104;Бурятский ЦГМС;1;0;0;3;0;0;0;0;0;0;0;;588;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.556374;2021-02-26 17:11:02.556374+08;f;0104000020E6100000010000000101000000AE47E17A140E5B408FC2F5285C6F4A40;;;;;
4950;Гидрологический пост;1;ФГБУ Иркутское УГМС;ТАЮРА;0;;;;;56.91;106.41;5;138;Отсутствует;0;0;0;3;0;0;0;0;0;1;0;;589;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.565268;2021-02-26 17:11:02.565268+08;f;0104000020E61000000100000001010000000AD7A3703D9A5A4014AE47E17A744C40;;;;;
4802;Центр по гидрометеорологии и мониторингу окружающей среды;2;ФГБУ Иркутское УГМС;БАЙКАЛЬСК;;30818;5150421;;;51.39;104.09;5;138;Байкальский ЦГМС;3;;;3;;;;;;1;;;150;f;;50f7a1d80d58140037000006;50f7a1d80d58140037000006;2021-03-01 16:17:34.151622;2021-02-26 17:10:54.182126+08;f;0104000020E61000000100000001010000009A99999999095A403333333333D34940;;;;;
4840;Метеорологическая станция;2;ФГБУ Иркутское УГМС;СОЛНЕЧНАЯ;0;30537;5400831;;;54.03;108.26;5;138;Отсутствует;3;0;0;0;0;0;0;0;0;1;0;;3;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:50.987871;2021-02-26 17:10:50.987871+08;f;0104000020E6100000010000000101000000713D0AD7A3105B40A4703D0AD7034B40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
